order_id,Order Date,ship_date,ship_mode,customer_name,segment,state,country,product_id,category,sub_category,product_name,sales,quantity,discount,shipping_cost
IN-2011-33652,03/01/2011,09/01/2011,Standard Class,Dennis Pardue,Home Office,Sarawak,Malaysia,TEC-CO-10000594,Technology,Copiers,"Hewlett Fax and Copier, Laser",193,1,0,10.4
ID-2011-80230,03/01/2011,09/01/2011,Standard Class,Ken Lonsdale,Consumer,Auckland,New Zealand,FUR-CH-10000214,Furniture,Chairs,"Hon Rocking Chair, Set of Two",159,2,0.4,10.07
MX-2011-160234,03/01/2011,07/01/2011,Standard Class,Stewart Visinsky,Consumer,Guatemala,Guatemala,TEC-PH-10002647,Technology,Phones,"Nokia Headset, VoIP",195,4,0,8.43
IR-2011-770,03/01/2011,07/01/2011,Standard Class,Jas O'Carroll,Consumer,Yazd,Iran,OFF-BRE-10003081,Office Supplies,Appliances,"Breville Coffee Grinder, Black",123,2,0,8.41
ID-2011-80230,03/01/2011,09/01/2011,Standard Class,Ken Lonsdale,Consumer,Auckland,New Zealand,TEC-AC-10002881,Technology,Accessories,"Belkin Numeric Keypad, Bluetooth",69,2,0.4,8.34
ID-2011-80230,03/01/2011,09/01/2011,Standard Class,Ken Lonsdale,Consumer,Auckland,New Zealand,FUR-CH-10000666,Furniture,Chairs,"SAFCO Chairmat, Black",69,2,0.4,8.17
ID-2011-12596,03/01/2011,08/01/2011,Standard Class,Chris McAfee,Consumer,Nakhon Ratchasima,Thailand,OFF-ST-10002066,Office Supplies,Storage,"Smead File Cart, Blue",135,2,0.47,7.74
IN-2011-79397,03/01/2011,03/01/2011,Same Day,Kean Nguyen,Corporate,New South Wales,Australia,OFF-LA-10003396,Office Supplies,Labels,"Avery Color Coded Labels, Laser Printer Compatible",36,3,0.1,7.46
IR-2011-7690,03/01/2011,08/01/2011,Second Class,Nat Gilpin,Corporate,Razavi Khorasan,Iran,OFF-BIC-10000582,Office Supplies,Art,"BIC Sketch Pad, Water Color",52,1,0,5.91
IR-2011-770,03/01/2011,07/01/2011,Standard Class,Jas O'Carroll,Consumer,Yazd,Iran,OFF-ROG-10004393,Office Supplies,Storage,"Rogers Folders, Industrial",62,2,0,5.16
TZ-2011-7370,03/01/2011,08/01/2011,Standard Class,Jack Garza,Consumer,Dar Es Salaam,Tanzania,OFF-STI-10000388,Office Supplies,Supplies,"Stiletto Scissors, Serrated",81,4,0,5.11
IZ-2011-4680,03/01/2011,07/01/2011,Standard Class,Lindsay Williams,Corporate,Ninawa,Iraq,OFF-CAM-10004338,Office Supplies,Envelopes,"Cameo Interoffice Envelope, Set of 50",47,1,0,3.57
IN-2011-65159,03/01/2011,07/01/2011,Second Class,Larry Blacks,Consumer,National Capital,Philippines,OFF-FA-10002569,Office Supplies,Fasteners,"Stockwell Staples, Metal",6,1,0.45,0.8
IR-2011-770,03/01/2011,07/01/2011,Standard Class,Jas O'Carroll,Consumer,Yazd,Iran,OFF-ADV-10000213,Office Supplies,Fasteners,"Advantus Rubber Bands, Metal",17,1,0,0.54
MX-2011-111255,04/01/2011,09/01/2011,Second Class,Russell Applegate,Consumer,Parana,Brazil,FUR-BO-10001498,Furniture,Bookcases,"Dania Classic Bookcase, Pine",1648,6,0,109.13
MX-2011-140641,04/01/2011,09/01/2011,Standard Class,Maya Herman,Corporate,Yucatán,Mexico,TEC-AC-10001082,Technology,Accessories,"Enermax Keyboard, Bluetooth",223,4,0,42.28
MX-2011-158771,04/01/2011,11/01/2011,Standard Class,Beth Thompson,Home Office,Granma,Cuba,OFF-EN-10000857,Office Supplies,Envelopes,"Jiffy Interoffice Envelope, Set of 50",186,6,0,16.39
ES-2011-4939443,04/01/2011,08/01/2011,Standard Class,Arthur Prichep,Consumer,Rhône-Alpes,France,OFF-AR-10001546,Office Supplies,Art,"Binney & Smith Sketch Pad, Easy-Erase",140,3,0,10.78
MX-2011-111255,04/01/2011,09/01/2011,Second Class,Russell Applegate,Consumer,Parana,Brazil,OFF-SU-10003629,Office Supplies,Supplies,"Fiskars Letter Opener, Easy Grip",149,8,0,10.38
MX-2011-140641,04/01/2011,09/01/2011,Standard Class,Maya Herman,Corporate,Yucatán,Mexico,TEC-CO-10002998,Technology,Copiers,"Sharp Ink, Laser",166,2,0.002,9.54
US-2011-136007,04/01/2011,11/01/2011,Standard Class,Beth Thompson,Home Office,Alagoas,Brazil,OFF-EN-10004956,Office Supplies,Envelopes,"Jiffy Interoffice Envelope, Set of 50",74,6,0.6,7.04
MX-2011-159373,04/01/2011,08/01/2011,Standard Class,Arthur Wiediger,Home Office,Santiago de Cuba,Cuba,FUR-CH-10004827,Furniture,Chairs,"SAFCO Chairmat, Black",38,1,0,4.25
MX-2011-159373,04/01/2011,08/01/2011,Standard Class,Arthur Wiediger,Home Office,Santiago de Cuba,Cuba,TEC-AC-10003081,Technology,Accessories,"Memorex Mouse, USB",38,2,0,3.94
MX-2011-159373,04/01/2011,08/01/2011,Standard Class,Arthur Wiediger,Home Office,Santiago de Cuba,Cuba,OFF-EN-10002816,Office Supplies,Envelopes,"Kraft Peel and Seal, Recycled",39,3,0,3.51
IT-2011-2942451,04/01/2011,09/01/2011,Standard Class,Grant Thornton,Corporate,England,United Kingdom,OFF-AR-10002485,Office Supplies,Art,"Boston Markers, Easy-Erase",27,2,0.5,2.11
CA-2011-103800,04/01/2011,08/01/2011,Standard Class,Darren Powers,Consumer,Texas,United States,OFF-PA-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16,2,0.2,1.82
IN-2011-33036,04/01/2011,08/01/2011,Standard Class,Bradley Drucker,Consumer,Tottori,Japan,OFF-LA-10000784,Office Supplies,Labels,"Harbour Creations File Folder Labels, 5000 Label Set",27,3,0,1.54
IT-2011-2942451,04/01/2011,09/01/2011,Standard Class,Grant Thornton,Corporate,England,United Kingdom,OFF-ST-10001426,Office Supplies,Storage,"Eldon Folders, Single Width",17,2,0.5,0.9
SU-2011-5190,04/01/2011,08/01/2011,Standard Class,Jasper Cacioppo,Consumer,Khartoum,Sudan,OFF-BOS-10004950,Office Supplies,Art,"Boston Pens, Fluorescent",15,1,0,0.82
SU-2011-5190,04/01/2011,08/01/2011,Standard Class,Jasper Cacioppo,Consumer,Khartoum,Sudan,OFF-AVE-10003279,Office Supplies,Binders,"Avery Hole Reinforcements, Durable",6,1,0,0.51
MX-2011-109267,05/01/2011,09/01/2011,Standard Class,Jennifer Halladay,Consumer,Veracruz,Mexico,OFF-AP-10004245,Office Supplies,Appliances,"Hoover Stove, Black",3029,8,0,191.2
ES-2011-3848439,05/01/2011,07/01/2011,First Class,Michael Granlund,Home Office,Rhône-Alpes,France,OFF-AR-10001291,Office Supplies,Art,"Sanford Canvas, Fluorescent",207,4,0,20.64
ES-2011-3848439,05/01/2011,07/01/2011,First Class,Michael Granlund,Home Office,Rhône-Alpes,France,OFF-AR-10000833,Office Supplies,Art,"Binney & Smith Pencil Sharpener, Water Color",90,3,0,15.27
CA-2011-112326,05/01/2011,09/01/2011,Standard Class,Phillina Ober,Home Office,Illinois,United States,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,273,3,0.2,13.59
IN-2011-27681,05/01/2011,11/01/2011,Standard Class,Shaun Weien,Consumer,Taipei City,Taiwan,FUR-FU-10000394,Furniture,Furnishings,"Rubbermaid Photo Frame, Durable",49,1,0,5.82
CA-2011-112326,05/01/2011,09/01/2011,Standard Class,Phillina Ober,Home Office,Illinois,United States,OFF-LA-10003223,Office Supplies,Labels,Avery 508,12,3,0.2,0.99
CA-2011-112326,05/01/2011,09/01/2011,Standard Class,Phillina Ober,Home Office,Illinois,United States,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,4,2,0.8,0.55
ES-2011-5496179,06/01/2011,09/01/2011,Second Class,Shahid Hopkins,Consumer,Ile-de-France,France,FUR-FU-10000468,Furniture,Furnishings,"Advantus Frame, Durable",324,3,0,39.98
IN-2011-29963,06/01/2011,10/01/2011,Standard Class,Brosina Hoffman,Consumer,Sumatera Barat,Indonesia,OFF-ST-10000344,Office Supplies,Storage,"Fellowes Box, Industrial",50,3,0.17,6.2
ID-2011-41632,06/01/2011,13/01/2011,Standard Class,Robert Dilbeck,Home Office,Ho Chí Minh City,Vietnam,OFF-ST-10001631,Office Supplies,Storage,"Tenex Trays, Blue",90,2,0.17,3.62
IN-2011-29963,06/01/2011,10/01/2011,Standard Class,Brosina Hoffman,Consumer,Sumatera Barat,Indonesia,OFF-FA-10000549,Office Supplies,Fasteners,"Advantus Staples, Metal",41,7,0.47,2.63
ID-2011-41632,06/01/2011,13/01/2011,Standard Class,Robert Dilbeck,Home Office,Ho Chí Minh City,Vietnam,OFF-PA-10003407,Office Supplies,Paper,"Enermax Memo Slips, Recycled",39,3,0.17,2.45
AO-2011-4910,06/01/2011,11/01/2011,Standard Class,Grace Kelly,Corporate,Luanda,Angola,TEC-LOG-10003079,Technology,Accessories,"Logitech Flash Drive, Erganomic",28,1,0,2
IN-2011-76107,06/01/2011,10/01/2011,Standard Class,Khloe Miller,Consumer,Jilin,China,OFF-EN-10002166,Office Supplies,Envelopes,"Cameo Manila Envelope, with clear poly window",31,1,0,1.96
CA-2011-141817,06/01/2011,13/01/2011,Standard Class,Mick Brown,Consumer,Pennsylvania,United States,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",20,3,0.2,1.85
CA-2011-167199,07/01/2011,11/01/2011,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2574,9,0,258.99
CA-2011-167199,07/01/2011,11/01/2011,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,610,2,0,88.07
CA-2011-167199,07/01/2011,11/01/2011,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,TEC-PH-10004977,Technology,Phones,GE 30524EE4,392,2,0,62.37
MZ-2011-1260,07/01/2011,10/01/2011,First Class,Stewart Visinsky,Consumer,Niassa,Mozambique,OFF-ELD-10001694,Office Supplies,Storage,"Eldon File Cart, Single Width",256,2,0,52.46
ID-2011-58670,07/01/2011,11/01/2011,Standard Class,Maribeth Schnelling,Consumer,National Capital,Philippines,TEC-MA-10000868,Technology,Machines,"Panasonic Phone, Wireless",445,7,0.25,46.97
ID-2011-58670,07/01/2011,11/01/2011,Standard Class,Maribeth Schnelling,Consumer,National Capital,Philippines,TEC-AC-10003413,Technology,Accessories,"Logitech Router, Programmable",274,2,0.45,42.19
ES-2011-5433855,07/01/2011,08/01/2011,First Class,Dave Poirier,Corporate,Provence-Alpes-Côte d'Azur,France,OFF-ST-10004855,Office Supplies,Storage,"Smead Lockers, Industrial",716,4,0.1,32.46
ID-2011-58670,07/01/2011,11/01/2011,Standard Class,Maribeth Schnelling,Consumer,National Capital,Philippines,TEC-MA-10004482,Technology,Machines,"Panasonic Card Printer, White",388,3,0.25,26.2
LE-2011-9590,07/01/2011,11/01/2011,Standard Class,Harry Marie,Corporate,Beirut,Lebanon,TEC-HP -10000464,Technology,Copiers,"HP Fax and Copier, Color",174,1,0,23.84
CA-2011-167199,07/01/2011,11/01/2011,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,TEC-PH-10004539,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,756,4,0,13.82
MZ-2011-1260,07/01/2011,10/01/2011,First Class,Stewart Visinsky,Consumer,Niassa,Mozambique,OFF-STA-10004885,Office Supplies,Art,"Stanley Sketch Pad, Easy-Erase",45,1,0,13.7
ES-2011-5433855,07/01/2011,08/01/2011,First Class,Dave Poirier,Corporate,Provence-Alpes-Côte d'Azur,France,OFF-FA-10002071,Office Supplies,Fasteners,"Accos Thumb Tacks, Assorted Sizes",33,3,0,9.73
ES-2011-5433855,07/01/2011,08/01/2011,First Class,Dave Poirier,Corporate,Provence-Alpes-Côte d'Azur,France,FUR-BO-10000265,Furniture,Bookcases,"Bush Floating Shelf Set, Pine",155,1,0.1,5.72
CA-2011-130813,07/01/2011,09/01/2011,Second Class,Lycoris Saunders,Consumer,California,United States,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,19,3,0,4.37
AG-2011-7230,07/01/2011,11/01/2011,Standard Class,Alyssa Crouse,Corporate,Alger,Algeria,OFF-STA-10000244,Office Supplies,Art,"Stanley Sketch Pad, Fluorescent",91,2,0,4.36
MX-2011-135629,07/01/2011,07/01/2011,Same Day,Dorothy Dickinson,Consumer,São Paulo,Brazil,OFF-FA-10001871,Office Supplies,Fasteners,"Stockwell Rubber Bands, Bulk Pack",43,4,0,3.94
MX-2011-135629,07/01/2011,07/01/2011,Same Day,Dorothy Dickinson,Consumer,São Paulo,Brazil,OFF-BI-10000136,Office Supplies,Binders,"Ibico Index Tab, Durable",19,3,0,3.69
CA-2011-106054,07/01/2011,08/01/2011,First Class,Jack O'Briant,Corporate,Georgia,United States,OFF-AR-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",13,3,0,3.51
ID-2011-58670,07/01/2011,11/01/2011,Standard Class,Maribeth Schnelling,Consumer,National Capital,Philippines,OFF-AR-10003684,Office Supplies,Art,"BIC Sketch Pad, Fluorescent",27,1,0.45,3.21
LE-2011-9590,07/01/2011,11/01/2011,Standard Class,Harry Marie,Corporate,Beirut,Lebanon,FUR-ADV-10000847,Furniture,Furnishings,"Advantus Stacking Tray, Black",26,1,0,2.88
CA-2011-167199,07/01/2011,11/01/2011,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,OFF-FA-10001883,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31,4,0,2.19
CA-2011-167199,07/01/2011,11/01/2011,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,OFF-PA-10000955,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,7,1,0,1.13
ID-2011-28752,07/01/2011,12/01/2011,Standard Class,Adam Bellavance,Home Office,Singapore,Singapore,OFF-LA-10002875,Office Supplies,Labels,"Novimex Shipping Labels, Adjustable",18,2,0,0.89
CA-2011-167199,07/01/2011,11/01/2011,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5,2,0,0.52
IT-2011-5134922,07/01/2011,10/01/2011,First Class,Joy Smith,Consumer,Groningen,Netherlands,OFF-AR-10000316,Office Supplies,Art,"Stanley Pens, Blue",5,1,0.5,0.28
AO-2011-1670,08/01/2011,13/01/2011,Standard Class,Henia Zydlo,Consumer,Benguela,Angola,FUR-IKE-10001539,Furniture,Bookcases,"Ikea Classic Bookcase, Pine",2479,6,0,349.87
IN-2011-19330,08/01/2011,12/01/2011,Second Class,Nicole Fjeld,Home Office,Yunnan,China,TEC-MA-10002468,Technology,Machines,"Panasonic Inkjet, White",2174,7,0,275.52
IT-2011-4546695,08/01/2011,14/01/2011,Standard Class,Darren Powers,Consumer,Midi-Pyrénées,France,FUR-BO-10003103,Furniture,Bookcases,"Ikea Classic Bookcase, Metal",987,6,0.6,65.64
MX-2011-121202,08/01/2011,13/01/2011,Second Class,Christopher Martinez,Consumer,Guatemala,Guatemala,OFF-ST-10002471,Office Supplies,Storage,"Smead Lockers, Single Width",397,3,0,33.67
CA-2011-105417,08/01/2011,13/01/2011,Standard Class,Vivek Sundaresam,Consumer,Texas,United States,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",77,3,0.6,6.69
MX-2011-121202,08/01/2011,13/01/2011,Second Class,Christopher Martinez,Consumer,Guatemala,Guatemala,OFF-BI-10002937,Office Supplies,Binders,"Wilson Jones Binder Covers, Clear",50,7,0,5.66
IT-2011-4546695,08/01/2011,14/01/2011,Standard Class,Darren Powers,Consumer,Midi-Pyrénées,France,OFF-AR-10000110,Office Supplies,Art,"Binney & Smith Sketch Pad, Blue",116,5,0.5,3.91
NI-2011-4770,08/01/2011,11/01/2011,Second Class,Joe Elijah,Consumer,Lagos,Nigeria,OFF-AVE-10000608,Office Supplies,Binders,"Avery Index Tab, Economy",5,2,0.7,0.82
CA-2011-105417,08/01/2011,13/01/2011,Standard Class,Vivek Sundaresam,Consumer,Texas,United States,OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10,7,0.8,0.63
ID-2011-20814,09/01/2011,13/01/2011,Standard Class,Ed Braxton,Corporate,Jawa Timur,Indonesia,TEC-PH-10001730,Technology,Phones,"Motorola Signal Booster, Full Size",240,2,0.17,34.99
IN-2011-69366,09/01/2011,14/01/2011,Standard Class,Alejandro Grove,Consumer,Kiên Giang,Vietnam,TEC-AC-10000354,Technology,Accessories,"Belkin Numeric Keypad, USB",177,6,0.47,17.09
ID-2011-46483,09/01/2011,13/01/2011,Standard Class,Sample Company A,Home Office,Calabarzon,Philippines,OFF-ST-10001342,Office Supplies,Storage,"Fellowes Trays, Blue",158,5,0.45,10.08
IN-2011-69366,09/01/2011,14/01/2011,Standard Class,Alejandro Grove,Consumer,Kiên Giang,Vietnam,TEC-PH-10003823,Technology,Phones,"Apple Headset, Full Size",124,2,0.17,7.93
ID-2011-46483,09/01/2011,13/01/2011,Standard Class,Sample Company A,Home Office,Calabarzon,Philippines,OFF-FA-10000577,Office Supplies,Fasteners,"Stockwell Push Pins, 12 Pack",52,7,0.45,5.55
IN-2011-69366,09/01/2011,14/01/2011,Standard Class,Alejandro Grove,Consumer,Kiên Giang,Vietnam,OFF-LA-10000668,Office Supplies,Labels,"Smead Removable Labels, Adjustable",45,5,0.17,3.31
ID-2011-46483,09/01/2011,13/01/2011,Standard Class,Sample Company A,Home Office,Calabarzon,Philippines,OFF-PA-10003405,Office Supplies,Paper,"Green Bar Memo Slips, Premium",9,1,0.45,0.69
IN-2011-69366,09/01/2011,14/01/2011,Standard Class,Alejandro Grove,Consumer,Kiên Giang,Vietnam,OFF-BI-10003874,Office Supplies,Binders,"Avery Index Tab, Clear",10,2,0.17,0.25
IN-2011-61302,10/01/2011,11/01/2011,First Class,Dan Lawera,Consumer,Queensland,Australia,TEC-PH-10004664,Technology,Phones,"Nokia Smart Phone, with Caller ID",2875,5,0.1,665.27
HU-2011-1380,10/01/2011,10/01/2011,Same Day,Elpida Rittenbach,Corporate,Budapest,Hungary,FUR-IKE-10002894,Furniture,Bookcases,"Ikea Library with Doors, Traditional",363,1,0,134.59
HU-2011-1380,10/01/2011,10/01/2011,Same Day,Elpida Rittenbach,Corporate,Budapest,Hungary,TEC-CAN-10004354,Technology,Copiers,"Canon Ink, Laser",589,4,0,114.15
EG-2011-4260,10/01/2011,12/01/2011,Second Class,Sanjit Jacobs,Home Office,Al Qahirah,Egypt,FUR-CHR-10004803,Furniture,Tables,"Chromcraft Wood Table, Fully Assembled",968,2,0,80.13
HU-2011-1380,10/01/2011,10/01/2011,Same Day,Elpida Rittenbach,Corporate,Budapest,Hungary,OFF-SAN-10003226,Office Supplies,Paper,"SanDisk Message Books, Recycled",142,6,0,67.79
HU-2011-1380,10/01/2011,10/01/2011,Same Day,Elpida Rittenbach,Corporate,Budapest,Hungary,OFF-SAN-10000874,Office Supplies,Art,"Sanford Pencil Sharpener, Fluorescent",155,6,0,58.32
HU-2011-1380,10/01/2011,10/01/2011,Same Day,Elpida Rittenbach,Corporate,Budapest,Hungary,TEC-EPS-10000774,Technology,Machines,"Epson Phone, Red",156,2,0,52.91
AG-2011-1070,10/01/2011,15/01/2011,Second Class,Tiffany House,Corporate,Constantine,Algeria,OFF-HOO-10001783,Office Supplies,Appliances,"Hoover Microwave, Red",309,1,0,31.41
US-2011-101091,10/01/2011,16/01/2011,Standard Class,Jocasta Rupert,Consumer,Carabobo,Venezuela,TEC-CO-10001818,Technology,Copiers,"Sharp Wireless Fax, Digital",425,3,0.402,26.72
HU-2011-1380,10/01/2011,10/01/2011,Same Day,Elpida Rittenbach,Corporate,Budapest,Hungary,OFF-EAT-10002068,Office Supplies,Paper,"Eaton Note Cards, Premium",53,2,0,16.06
IT-2011-3659171,10/01/2011,14/01/2011,Standard Class,Greg Guthrie,Corporate,England,United Kingdom,OFF-ST-10004695,Office Supplies,Storage,"Fellowes File Cart, Blue",206,3,0.5,14.65
HU-2011-1380,10/01/2011,10/01/2011,Same Day,Elpida Rittenbach,Corporate,Budapest,Hungary,OFF-CAM-10001249,Office Supplies,Envelopes,"Cameo Mailers, with clear poly window",42,1,0,13.08
MX-2011-140697,10/01/2011,15/01/2011,Standard Class,Paul MacIntyre,Consumer,México,Mexico,OFF-ST-10002251,Office Supplies,Storage,"Fellowes Shelving, Wire Frame",114,3,0,8.93
IN-2011-13065,10/01/2011,11/01/2011,First Class,Patrick O'Donnell,Consumer,Guangxi,China,OFF-SU-10003559,Office Supplies,Supplies,"Kleencut Ruler, Steel",26,2,0,5.86
IN-2011-61302,10/01/2011,11/01/2011,First Class,Dan Lawera,Consumer,Queensland,Australia,OFF-LA-10000879,Office Supplies,Labels,"Hon File Folder Labels, Alphabetical",30,4,0.1,5.54
IN-2011-13065,10/01/2011,11/01/2011,First Class,Patrick O'Donnell,Consumer,Guangxi,China,OFF-BI-10002853,Office Supplies,Binders,"Avery Binder Covers, Recycled",34,3,0,5.26
HU-2011-1380,10/01/2011,10/01/2011,Same Day,Elpida Rittenbach,Corporate,Budapest,Hungary,TEC-STA-10000546,Technology,Machines,"StarTech Calculator, Red",37,1,0,4.32
IN-2011-61302,10/01/2011,11/01/2011,First Class,Dan Lawera,Consumer,Queensland,Australia,OFF-PA-10003731,Office Supplies,Paper,"Enermax Note Cards, Premium",162,6,0.1,3.02
HU-2011-1380,10/01/2011,10/01/2011,Same Day,Elpida Rittenbach,Corporate,Budapest,Hungary,OFF-SAN-10001128,Office Supplies,Art,"Sanford Pens, Easy-Erase",11,1,0,2.59
HU-2011-1380,10/01/2011,10/01/2011,Same Day,Elpida Rittenbach,Corporate,Budapest,Hungary,OFF-AVE-10000357,Office Supplies,Binders,"Avery Binder Covers, Clear",11,1,0,2.03
SF-2011-6400,10/01/2011,14/01/2011,Standard Class,Ricardo Sperren,Corporate,North-West,South Africa,OFF-ACC-10003422,Office Supplies,Binders,"Acco Binder, Durable",17,1,0,1.29
CA-2011-135405,10/01/2011,14/01/2011,Standard Class,Melanie Seite,Consumer,Texas,United States,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31,3,0.2,1.13
ID-2011-13660,10/01/2011,15/01/2011,Second Class,Brian Dahlen,Consumer,Bangkok,Thailand,OFF-FA-10003615,Office Supplies,Fasteners,"Stockwell Staples, Assorted Sizes",12,3,0.47,1.04
MX-2011-140697,10/01/2011,15/01/2011,Standard Class,Paul MacIntyre,Consumer,México,Mexico,OFF-SU-10003739,Office Supplies,Supplies,"Elite Scissors, Easy Grip",16,1,0,0.89
CA-2011-135405,10/01/2011,14/01/2011,Standard Class,Melanie Seite,Consumer,Texas,United States,OFF-AR-10004078,Office Supplies,Art,Newell 312,9,2,0.2,0.21
ES-2011-5158390,11/01/2011,11/01/2011,Same Day,Roy Collins,Consumer,England,United Kingdom,FUR-CH-10004255,Furniture,Chairs,"SAFCO Executive Leather Armchair, Red",1384,3,0,178.98
US-2011-163874,11/01/2011,12/01/2011,First Class,Philip Fox,Consumer,México,Mexico,OFF-ST-10003741,Office Supplies,Storage,"Smead Lockers, Blue",1323,10,0,103.84
US-2011-163874,11/01/2011,12/01/2011,First Class,Philip Fox,Consumer,México,Mexico,FUR-BO-10002214,Furniture,Bookcases,"Dania Floating Shelf Set, Traditional",452,5,0.2,57.75
IN-2011-39308,11/01/2011,18/01/2011,Standard Class,David Flashing,Consumer,Jawa Barat,Indonesia,TEC-PH-10002806,Technology,Phones,"Apple Audio Dock, VoIP",554,4,0.17,42.43
IN-2011-79761,11/01/2011,16/01/2011,Standard Class,Steve Carroll,Home Office,Calabarzon,Philippines,TEC-CO-10001895,Technology,Copiers,"Sharp Wireless Fax, Color",697,3,0.35,40.16
US-2011-163874,11/01/2011,12/01/2011,First Class,Philip Fox,Consumer,México,Mexico,TEC-PH-10002755,Technology,Phones,"Apple Headset, VoIP",245,5,0,39.11
IN-2011-39308,11/01/2011,18/01/2011,Standard Class,David Flashing,Consumer,Jawa Barat,Indonesia,OFF-AR-10003613,Office Supplies,Art,"Sanford Canvas, Easy-Erase",334,9,0.27,23.56
ES-2011-4359424,11/01/2011,15/01/2011,Standard Class,Dorothy Dickinson,Consumer,Murcia,Spain,FUR-TA-10001693,Furniture,Tables,"Bevis Training Table, with Bottom Storage",268,2,0.6,21.49
ES-2011-5158390,11/01/2011,11/01/2011,Same Day,Roy Collins,Consumer,England,United Kingdom,OFF-AR-10001599,Office Supplies,Art,"Binney & Smith Canvas, Blue",103,2,0,20.54
